collector,start,end,alpha,bravo,charlie
Google Play Random,08/10/2020 11:12:58 PM,08/10/2020 11:14:38 PM,1,1,5
Google Play Random,08/10/2020 10:57:00 PM,08/10/2020 10:57:49 PM,4,3,2
Google Play Beta,08/10/2020 10:56:06 PM,08/10/2020 10:57:11 PM,4,5,4
Google Play Random,08/10/2020 10:24:25 PM,08/10/2020 10:33:47 PM,5,4,4
Google Play Beta,08/10/2020 10:11:11 PM,08/10/2020 10:12:33 PM,5,3,4
Google Play Random,08/10/2020 09:52:34 PM,08/10/2020 09:53:39 PM,1,3,2
Google Play Random,08/10/2020 09:23:43 PM,08/10/2020 09:24:16 PM,2,5,3
Google Play Random,08/10/2020 08:58:56 PM,08/10/2020 08:59:34 PM,4,1,3
Google Play Random,08/10/2020 08:19:29 PM,08/10/2020 08:20:18 PM,1,1,5
Google Play Random,08/10/2020 07:58:12 PM,08/10/2020 07:59:20 PM,1,2,5
Google Play Random,08/10/2020 07:55:03 PM,08/10/2020 07:56:29 PM,3,3,5
Google Play Random,08/10/2020 07:37:00 PM,08/10/2020 07:37:23 PM,4,3,2
Google Play Random,08/10/2020 07:36:43 PM,08/10/2020 07:37:14 PM,5,4,4
Google Play Random,08/10/2020 06:55:20 PM,08/10/2020 06:57:06 PM,4,5,2
Google Play Random,08/10/2020 06:46:48 PM,08/10/2020 06:47:53 PM,3,5,4
Google Play Random,08/10/2020 06:32:04 PM,08/10/2020 06:36:19 PM,5,4,3
Google Play Random,08/10/2020 06:25:21 PM,08/10/2020 06:26:15 PM,1,4,3
Google Play Random,08/10/2020 06:15:18 PM,08/10/2020 06:15:37 PM,4,5,5
Google Play Random,08/10/2020 05:50:28 PM,08/10/2020 05:51:04 PM,3,5,3
Google Play Random,08/10/2020 04:02:34 PM,08/10/2020 04:03:23 PM,4,5,3
Google Play Random,08/10/2020 03:57:06 PM,08/10/2020 04:03:22 PM,5,1,4
Google Play Beta,08/10/2020 03:47:01 PM,08/10/2020 03:47:57 PM,5,4,3
Google Play Random,08/10/2020 03:46:20 PM,08/10/2020 03:48:42 PM,4,3,4
Google Play Random,08/10/2020 03:29:13 PM,08/10/2020 03:30:25 PM,1,1,5
Google Play Random,08/10/2020 03:27:17 PM,08/10/2020 03:30:08 PM,4,4,3
Google Play Random,08/10/2020 03:06:38 PM,08/10/2020 03:07:24 PM,3,2,4
Google Play Random,08/10/2020 02:56:59 PM,08/10/2020 02:58:16 PM,4,2,4
Google Play Random,08/10/2020 02:26:19 PM,08/10/2020 02:30:03 PM,4,2,3
Google Play Random,08/10/2020 02:11:05 PM,08/10/2020 02:13:21 PM,2,3,5
Google Play Random,08/10/2020 01:46:06 PM,08/10/2020 01:46:46 PM,3,5,3
Google Play Random,08/10/2020 01:45:46 PM,08/10/2020 01:46:55 PM,4,3,2
Google Play Random,08/10/2020 01:32:39 PM,08/10/2020 01:33:47 PM,5,4,2
Google Play Random,08/10/2020 01:32:20 PM,08/10/2020 01:35:40 PM,3,5,4
Google Play Beta,08/10/2020 01:22:15 PM,08/10/2020 01:23:12 PM,4,5,3
Google Play Random,08/10/2020 01:09:24 PM,08/10/2020 01:10:26 PM,4,5,3
Google Play Random,08/10/2020 01:07:41 PM,08/10/2020 01:08:32 PM,4,4,3
Google Play Random,08/10/2020 11:36:33 AM,08/10/2020 11:40:50 AM,2,3,4
Google Play Random,08/10/2020 10:31:00 AM,08/10/2020 10:31:53 AM,3,3,3
Google Play Random,08/10/2020 10:18:57 AM,08/10/2020 10:19:46 AM,5,3,4
Google Play Random,08/10/2020 10:02:49 AM,08/10/2020 10:04:12 AM,1,5,3
Google Play Random,08/10/2020 09:32:10 AM,08/10/2020 09:33:37 AM,1,3,5
Google Play Random,08/10/2020 09:25:32 AM,08/10/2020 09:26:55 AM,4,3,2
Google Play Beta,08/10/2020 08:59:52 AM,08/10/2020 09:00:25 AM,4,3,2
Google Play Random,08/10/2020 08:00:01 AM,08/10/2020 08:01:12 AM,3,2,4
Google Play Random,08/10/2020 07:50:53 AM,08/10/2020 07:51:31 AM,1,2,5
Google Play Random,08/10/2020 07:14:43 AM,08/10/2020 07:16:08 AM,1,5,4
Google Play Random,08/10/2020 06:46:16 AM,08/10/2020 06:46:47 AM,5,4,3
Google Play Beta,08/10/2020 06:27:08 AM,08/10/2020 06:28:04 AM,2,4,3
Google Play Random,08/10/2020 04:34:04 AM,08/10/2020 04:35:08 AM,5,2,3
Google Play Random,08/10/2020 03:51:13 AM,08/10/2020 03:52:22 AM,4,5,2
Google Play Random,08/10/2020 03:34:16 AM,08/10/2020 03:35:06 AM,4,5,3
Google Play Random,08/10/2020 02:10:02 AM,08/10/2020 02:11:10 AM,3,5,4
Google Play Random,08/10/2020 02:05:04 AM,08/10/2020 02:06:27 AM,4,2,2
Google Play Random,08/10/2020 01:37:10 AM,08/10/2020 01:38:29 AM,3,4,5
Google Play Random,08/10/2020 12:57:53 AM,08/10/2020 12:58:32 AM,5,4,3
Google Play Random,08/10/2020 12:35:33 AM,08/10/2020 12:36:46 AM,5,3,4
Google Play Random,08/10/2020 12:35:20 AM,08/10/2020 12:35:57 AM,1,3,5
Google Play Random,08/09/2020 11:37:39 PM,08/09/2020 11:38:04 PM,4,4,3
Google Play Beta,08/09/2020 11:34:07 PM,08/09/2020 11:36:13 PM,5,4,3
Google Play Random,08/09/2020 11:25:31 PM,08/09/2020 11:26:43 PM,2,4,5
Google Play Random,08/09/2020 11:21:19 PM,08/09/2020 11:21:56 PM,1,3,2
Google Play Random,08/09/2020 11:10:07 PM,08/09/2020 11:10:49 PM,5,1,3
Google Play Random,08/09/2020 10:56:47 PM,08/09/2020 10:57:24 PM,4,5,3
Google Play Random,08/09/2020 10:47:47 PM,08/09/2020 10:53:56 PM,1,4,4
Google Play Random,08/09/2020 10:29:39 PM,08/09/2020 10:30:41 PM,5,5,3
Google Play Random,08/09/2020 10:27:44 PM,08/09/2020 10:29:03 PM,1,4,2
Google Play Random,08/09/2020 10:18:28 PM,08/09/2020 10:19:51 PM,4,5,4
Google Play Random,08/09/2020 08:00:44 PM,08/09/2020 10:13:32 PM,2,4,4
Google Play Random,08/09/2020 10:07:12 PM,08/09/2020 10:07:47 PM,1,2,5
Google Play Random,08/09/2020 09:47:00 PM,08/09/2020 09:48:40 PM,4,5,3
Google Play Random,08/09/2020 09:18:41 PM,08/09/2020 09:20:14 PM,2,4,3
Google Play Random,08/09/2020 09:12:24 PM,08/09/2020 09:15:57 PM,1,2,5
Google Play Beta,08/09/2020 08:52:59 PM,08/09/2020 08:53:36 PM,4,5,2
Google Play Random,08/09/2020 08:32:33 PM,08/09/2020 08:33:13 PM,2,5,4
Google Play Random,08/09/2020 08:19:07 PM,08/09/2020 08:19:41 PM,5,3,1
Google Play Beta,08/09/2020 08:01:45 PM,08/09/2020 08:02:07 PM,1,4,5
Google Play Random,08/09/2020 07:18:38 PM,08/09/2020 07:19:20 PM,4,5,1
Google Play Beta,08/09/2020 06:43:20 PM,08/09/2020 06:44:06 PM,4,5,1
Google Play Random,08/09/2020 06:01:53 PM,08/09/2020 06:05:36 PM,4,2,5
Google Play Random,08/09/2020 05:55:03 PM,08/09/2020 05:55:31 PM,1,2,4
Google Play Random,08/09/2020 05:44:03 PM,08/09/2020 05:45:17 PM,4,3,2
Google Play Random,08/09/2020 05:43:25 PM,08/09/2020 05:44:15 PM,5,4,3
Google Play Random,08/09/2020 05:22:20 PM,08/09/2020 05:29:52 PM,1,3,4
Google Play Random,08/09/2020 05:11:38 PM,08/09/2020 05:12:22 PM,1,4,5
Google Play Beta,08/09/2020 04:58:01 PM,08/09/2020 04:59:07 PM,5,4,2
Google Play Random,08/09/2020 04:29:02 PM,08/09/2020 04:29:57 PM,3,5,2
Google Play Random,08/09/2020 04:21:43 PM,08/09/2020 04:22:30 PM,4,2,5
Google Play Random,08/09/2020 04:14:05 PM,08/09/2020 04:15:15 PM,1,5,3
Google Play Random,08/09/2020 03:21:19 PM,08/09/2020 03:41:31 PM,4,5,2
Google Play Random,08/09/2020 02:50:52 PM,08/09/2020 02:53:06 PM,5,1,3
Google Play Random,08/09/2020 02:50:57 PM,08/09/2020 02:51:57 PM,4,1,4
Google Play Random,08/09/2020 02:24:44 PM,08/09/2020 02:26:02 PM,4,4,3
Google Play Random,08/09/2020 02:04:57 PM,08/09/2020 02:06:01 PM,4,3,5
Google Play Random,08/09/2020 02:03:06 PM,08/09/2020 02:04:17 PM,3,5,5
Google Play Random,08/09/2020 01:59:37 PM,08/09/2020 02:00:21 PM,3,1,5
Google Play Beta,08/09/2020 12:59:53 PM,08/09/2020 01:06:15 PM,5,1,1
Google Play Random,08/09/2020 12:39:41 PM,08/09/2020 12:40:21 PM,4,3,4
Google Play Random,08/09/2020 12:24:16 PM,08/09/2020 12:24:53 PM,4,2,3
Google Play Beta,08/09/2020 12:21:59 PM,08/09/2020 12:23:13 PM,4,5,3
Google Play Random,08/09/2020 12:03:38 PM,08/09/2020 12:04:22 PM,2,3,4
Google Play Random,08/09/2020 11:59:58 AM,08/09/2020 12:01:03 PM,4,2,2
Google Play Random,08/09/2020 11:27:10 AM,08/09/2020 11:27:53 AM,3,1,5
Google Play Random,08/09/2020 10:14:22 AM,08/09/2020 10:16:08 AM,2,3,5
Google Play Random,08/09/2020 09:58:44 AM,08/09/2020 09:59:41 AM,3,4,1
Google Play Random,08/09/2020 08:57:30 AM,08/09/2020 08:58:12 AM,1,1,5
Google Play Beta,08/09/2020 08:56:12 AM,08/09/2020 08:57:04 AM,3,5,4
Google Play Random,08/09/2020 08:50:59 AM,08/09/2020 08:52:02 AM,4,5,5
Google Play Random,08/09/2020 08:38:54 AM,08/09/2020 08:40:54 AM,4,2,3
Google Play Random,08/09/2020 08:21:23 AM,08/09/2020 08:24:21 AM,2,4,3
Google Play Random,08/09/2020 08:12:44 AM,08/09/2020 08:13:58 AM,3,2,4
Google Play Random,08/09/2020 07:45:10 AM,08/09/2020 07:45:26 AM,5,5,5
Google Play Random,08/09/2020 07:33:52 AM,08/09/2020 07:35:36 AM,5,3,3
Google Play Beta,08/09/2020 07:31:52 AM,08/09/2020 07:32:40 AM,5,3,4
Google Play Random,08/09/2020 07:06:44 AM,08/09/2020 07:09:07 AM,5,4,3
Google Play Random,08/09/2020 06:43:13 AM,08/09/2020 06:46:22 AM,4,5,3
Google Play Random,08/09/2020 06:22:44 AM,08/09/2020 06:23:41 AM,2,4,3
Google Play Random,08/09/2020 06:01:10 AM,08/09/2020 06:03:22 AM,2,4,4
Google Play Random,08/09/2020 04:55:44 AM,08/09/2020 04:59:49 AM,1,5,3
Google Play Random,08/09/2020 04:54:27 AM,08/09/2020 04:56:02 AM,3,4,3
Google Play Random,08/09/2020 04:49:52 AM,08/09/2020 04:51:32 AM,3,5,1
Google Play Random,08/09/2020 04:18:06 AM,08/09/2020 04:18:59 AM,3,5,4
Google Play Random,08/09/2020 04:11:31 AM,08/09/2020 04:12:24 AM,5,4,3
Google Play Random,08/09/2020 03:30:36 AM,08/09/2020 03:31:43 AM,1,1,5
Google Play Random,08/09/2020 02:51:07 AM,08/09/2020 02:52:33 AM,4,3,5
Google Play Random,08/09/2020 01:19:19 AM,08/09/2020 01:20:05 AM,4,5,3
Google Play Random,08/09/2020 12:44:07 AM,08/09/2020 12:47:16 AM,1,2,5
Google Play Random,08/09/2020 12:21:08 AM,08/09/2020 12:23:18 AM,2,5,3
Google Play Random,08/09/2020 12:12:08 AM,08/09/2020 12:16:07 AM,2,1,2
Google Play Random,08/09/2020 12:10:05 AM,08/09/2020 12:11:49 AM,2,3,5
Google Play Random,08/09/2020 12:04:37 AM,08/09/2020 12:05:18 AM,4,3,5
Google Play Random,08/08/2020 11:59:38 PM,08/09/2020 12:00:36 AM,2,3,4
Google Play Random,08/08/2020 11:50:43 PM,08/08/2020 11:51:25 PM,2,1,4
Google Play Random,08/08/2020 11:43:55 PM,08/08/2020 11:45:16 PM,5,3,4
Google Play Random,08/08/2020 11:34:13 PM,08/08/2020 11:35:11 PM,4,3,5
Google Play Random,08/08/2020 11:25:33 PM,08/08/2020 11:27:41 PM,5,2,4
Google Play Random,08/08/2020 11:18:59 PM,08/08/2020 11:21:06 PM,2,3,3
Google Play Random,08/08/2020 11:06:27 PM,08/08/2020 11:09:24 PM,3,2,5
Google Play Random,08/08/2020 10:47:33 PM,08/08/2020 10:48:51 PM,1,1,5
Google Play Random,08/08/2020 10:13:04 PM,08/08/2020 10:14:00 PM,5,4,4
Google Play Random,08/08/2020 10:05:42 PM,08/08/2020 10:06:53 PM,5,4,1
Google Play Random,08/08/2020 10:05:10 PM,08/08/2020 10:16:24 PM,5,3,2
Google Play Random,08/08/2020 09:51:05 PM,08/08/2020 09:52:41 PM,5,2,3
Google Play Random,08/08/2020 09:48:01 PM,08/08/2020 09:48:40 PM,4,4,4
Google Play Random,08/08/2020 09:43:44 PM,08/08/2020 09:46:02 PM,1,5,4
Google Play Random,08/08/2020 09:35:16 PM,08/08/2020 09:37:44 PM,4,3,5
Google Play Beta,08/08/2020 09:18:33 PM,08/08/2020 09:19:22 PM,5,1,3
Google Play Random,08/08/2020 07:27:15 PM,08/08/2020 07:28:11 PM,1,3,3
Google Play Random,08/08/2020 07:15:55 PM,08/08/2020 07:16:29 PM,4,5,4
Google Play Random,08/08/2020 06:38:04 PM,08/08/2020 06:38:46 PM,3,1,4
Google Play Random,08/08/2020 06:33:12 PM,08/08/2020 06:33:51 PM,3,4,3
Google Play Random,08/08/2020 06:23:47 PM,08/08/2020 06:24:42 PM,4,4,3
Google Play Random,08/08/2020 06:20:16 PM,08/08/2020 06:21:26 PM,3,4,2
Google Play Random,08/08/2020 05:58:57 PM,08/08/2020 05:59:55 PM,4,5,3
Google Play Random,08/08/2020 05:43:41 PM,08/08/2020 05:44:29 PM,5,4,3
Google Play Random,08/08/2020 05:37:39 PM,08/08/2020 05:38:48 PM,5,4,3
Google Play Random,08/08/2020 05:16:49 PM,08/08/2020 05:17:46 PM,1,3,1
Google Play Beta,08/08/2020 05:09:50 PM,08/08/2020 05:11:32 PM,2,4,3
Google Play Random,08/08/2020 05:04:11 PM,08/08/2020 05:04:52 PM,3,2,5
Google Play Random,08/08/2020 04:46:53 PM,08/08/2020 04:48:24 PM,3,5,2
Google Play Random,08/08/2020 03:31:22 PM,08/08/2020 03:32:28 PM,3,2,5
Google Play Beta,08/08/2020 03:09:05 PM,08/08/2020 03:11:40 PM,4,5,1
Google Play Random,08/08/2020 02:47:46 PM,08/08/2020 02:48:40 PM,2,4,3
Google Play Random,08/08/2020 02:36:48 PM,08/08/2020 02:37:47 PM,5,4,3
Google Play Random,08/08/2020 01:59:10 PM,08/08/2020 02:00:19 PM,4,3,2
Google Play Random,08/08/2020 01:36:06 PM,08/08/2020 01:37:25 PM,2,3,4
Google Play Random,08/08/2020 01:20:28 PM,08/08/2020 01:23:22 PM,2,4,5
Google Play Beta,08/08/2020 01:13:09 PM,08/08/2020 01:17:53 PM,1,4,5
Google Play Random,08/08/2020 12:19:55 PM,08/08/2020 12:20:28 PM,5,3,2
Google Play Random,08/08/2020 12:05:29 PM,08/08/2020 12:06:59 PM,1,5,3
Google Play Random,08/08/2020 12:00:33 PM,08/08/2020 12:01:17 PM,3,3,4
Google Play Random,08/08/2020 11:38:49 AM,08/08/2020 11:39:50 AM,4,3,3
Google Play Random,08/08/2020 09:52:07 AM,08/08/2020 09:54:12 AM,4,5,3
Google Play Random,08/08/2020 09:44:15 AM,08/08/2020 09:44:40 AM,4,5,2
Google Play Random,08/08/2020 09:43:24 AM,08/08/2020 09:45:10 AM,3,5,2
Google Play Random,08/08/2020 08:46:38 AM,08/08/2020 08:48:03 AM,3,5,5
Google Play Random,08/08/2020 08:41:16 AM,08/08/2020 08:42:16 AM,1,3,5
Google Play Random,08/08/2020 08:34:03 AM,08/08/2020 08:35:59 AM,5,4,3
Google Play Random,08/08/2020 08:22:53 AM,08/08/2020 08:25:48 AM,5,4,3
Google Play Random,08/08/2020 08:16:51 AM,08/08/2020 08:18:11 AM,4,4,4
Google Play Random,08/08/2020 08:02:30 AM,08/08/2020 08:03:27 AM,1,1,4
Google Play Random,08/08/2020 07:45:34 AM,08/08/2020 07:47:00 AM,5,5,3
Google Play Random,08/08/2020 07:21:48 AM,08/08/2020 07:22:28 AM,3,3,5
Google Play Random,08/08/2020 07:09:15 AM,08/08/2020 07:10:41 AM,4,3,5
Google Play Random,08/08/2020 07:07:25 AM,08/08/2020 07:08:15 AM,3,5,5
Google Play Random,08/08/2020 06:41:14 AM,08/08/2020 06:42:23 AM,5,1,3
Google Play Random,08/08/2020 06:38:02 AM,08/08/2020 06:39:30 AM,3,5,1
Google Play Beta,08/08/2020 06:22:22 AM,08/08/2020 06:23:24 AM,5,5,2
Google Play Random,08/08/2020 06:02:22 AM,08/08/2020 06:04:12 AM,3,5,2
Google Play Random,08/08/2020 05:17:57 AM,08/08/2020 05:20:43 AM,4,3,5
Google Play Random,08/08/2020 04:26:56 AM,08/08/2020 04:27:36 AM,3,2,5
Google Play Random,08/08/2020 04:08:26 AM,08/08/2020 04:09:16 AM,5,4,3
Google Play Random,08/08/2020 12:54:21 AM,08/08/2020 12:55:11 AM,5,2,1
Google Play Random,08/08/2020 12:43:21 AM,08/08/2020 12:43:56 AM,5,1,3
Google Play Random,08/07/2020 11:16:06 PM,08/07/2020 11:16:47 PM,2,3,5
Google Play Random,08/07/2020 11:01:18 PM,08/07/2020 11:02:34 PM,5,4,3
Google Play Random,08/07/2020 09:34:34 PM,08/07/2020 09:35:29 PM,5,4,3
Google Play Random,08/07/2020 09:32:26 PM,08/07/2020 09:34:30 PM,3,2,5
Google Play Random,08/07/2020 09:25:22 PM,08/07/2020 09:26:08 PM,4,5,4
Google Play Random,08/07/2020 08:52:33 PM,08/07/2020 08:54:48 PM,5,2,3
Google Play Beta,08/07/2020 08:49:23 PM,08/07/2020 08:50:18 PM,5,4,3
Google Play Beta,08/07/2020 05:54:51 PM,08/07/2020 05:56:53 PM,5,4,3
Google Play Beta,08/07/2020 05:47:56 PM,08/07/2020 06:19:43 PM,3,4,3
Google Play Random,08/07/2020 04:47:34 PM,08/07/2020 04:49:07 PM,1,5,3
Google Play Random,08/07/2020 04:16:20 PM,08/07/2020 04:17:16 PM,4,3,4
Google Play Random,08/07/2020 04:00:05 PM,08/07/2020 04:00:41 PM,2,3,4
Google Play Random,08/07/2020 03:26:33 PM,08/07/2020 03:27:37 PM,4,3,4
Google Play Random,08/07/2020 02:55:19 PM,08/07/2020 02:55:58 PM,5,4,3
Google Play Random,08/07/2020 02:37:23 PM,08/07/2020 02:38:27 PM,4,1,3
Google Play Random,08/07/2020 12:57:42 PM,08/07/2020 12:59:18 PM,1,5,4
Google Play Random,08/07/2020 12:23:14 PM,08/07/2020 12:24:53 PM,2,3,4
Google Play Random,08/07/2020 11:40:01 AM,08/07/2020 11:40:53 AM,3,4,2
Google Play Random,08/07/2020 11:32:34 AM,08/07/2020 11:33:53 AM,5,3,2
Google Play Random,08/07/2020 11:27:36 AM,08/07/2020 11:28:19 AM,4,5,1
Google Play Random,08/07/2020 10:46:58 AM,08/07/2020 10:47:48 AM,4,4,3
Google Play Random,08/07/2020 10:45:37 AM,08/07/2020 10:46:19 AM,2,3,4
Google Play Random,08/07/2020 10:18:06 AM,08/07/2020 10:18:58 AM,4,3,5
Google Play Beta,08/07/2020 10:09:52 AM,08/07/2020 10:19:06 AM,3,3,5
Google Play Beta,08/07/2020 09:30:20 AM,08/07/2020 09:30:51 AM,5,4,2
Google Play Random,08/07/2020 08:20:06 AM,08/07/2020 08:24:00 AM,5,3,4
Google Play Random,08/07/2020 08:17:30 AM,08/07/2020 08:19:02 AM,3,2,4
Google Play Beta,08/07/2020 04:42:02 AM,08/07/2020 04:42:33 AM,1,5,4
Google Play Random,08/07/2020 04:07:31 AM,08/07/2020 04:12:45 AM,4,5,3
Google Play Beta,08/07/2020 03:52:11 AM,08/07/2020 03:57:08 AM,3,5,2
Google Play Random,08/07/2020 02:30:37 AM,08/07/2020 02:31:19 AM,4,4,3
Google Play Random,08/07/2020 12:13:24 AM,08/07/2020 12:14:11 AM,4,1,3
Google Play Random,08/07/2020 12:10:36 AM,08/07/2020 12:14:11 AM,2,3,2
Google Play Beta,08/07/2020 12:04:21 AM,08/07/2020 12:05:32 AM,2,5,3
Google Play Random,08/06/2020 11:47:33 PM,08/06/2020 11:48:26 PM,5,3,3
Google Play Random,08/06/2020 11:33:01 PM,08/06/2020 11:34:26 PM,2,3,4
Google Play Random,08/06/2020 11:13:11 PM,08/06/2020 11:14:29 PM,4,1,3
Google Play Random,08/06/2020 11:00:25 PM,08/06/2020 11:01:11 PM,1,3,5
Google Play Random,08/06/2020 10:58:30 PM,08/06/2020 10:59:05 PM,3,5,3
Google Play Beta,08/06/2020 10:24:38 PM,08/06/2020 10:25:30 PM,3,5,1
Google Play Random,08/06/2020 10:14:45 PM,08/06/2020 10:15:24 PM,5,4,3
Google Play Random,08/06/2020 09:34:02 PM,08/06/2020 09:35:15 PM,4,3,3
Google Play Random,08/06/2020 09:32:22 PM,08/06/2020 09:34:29 PM,2,3,5
Google Play Beta,08/06/2020 09:13:32 PM,08/06/2020 09:14:26 PM,4,5,1
Google Play Random,08/06/2020 09:05:59 PM,08/06/2020 09:06:36 PM,2,5,4
Google Play Beta,08/06/2020 08:19:58 PM,08/06/2020 08:20:47 PM,5,3,3
Google Play Random,08/06/2020 08:19:24 PM,08/06/2020 08:20:38 PM,3,5,4
Google Play Random,08/06/2020 08:13:48 PM,08/06/2020 08:14:28 PM,5,3,4
Google Play Beta,08/06/2020 07:30:16 PM,08/06/2020 07:31:08 PM,5,4,2
Google Play Random,08/06/2020 07:29:36 PM,08/06/2020 07:30:49 PM,2,4,3
Google Play Random,08/06/2020 06:23:22 PM,08/06/2020 06:24:51 PM,4,1,3
Google Play Random,08/06/2020 06:03:52 PM,08/06/2020 06:05:20 PM,2,3,2
Google Play Beta,08/06/2020 05:18:15 PM,08/06/2020 05:19:10 PM,2,5,3
Google Play Beta,08/06/2020 04:52:50 PM,08/06/2020 04:56:31 PM,4,3,5
Google Play Random,08/06/2020 04:05:33 PM,08/06/2020 04:07:37 PM,5,4,5
Google Play Random,08/06/2020 03:55:49 PM,08/06/2020 03:57:14 PM,1,3,4
Google Play Random,08/06/2020 03:46:37 PM,08/06/2020 03:47:50 PM,4,4,2
Google Play Beta,08/06/2020 03:29:27 PM,08/06/2020 03:29:58 PM,4,5,2
Google Play Random,08/06/2020 03:21:44 PM,08/06/2020 03:22:50 PM,5,4,3
Google Play Random,08/06/2020 02:39:10 PM,08/06/2020 02:40:01 PM,2,4,3
Google Play Random,08/06/2020 02:37:06 PM,08/06/2020 02:43:39 PM,3,5,1
Google Play Random,08/06/2020 12:48:23 PM,08/06/2020 12:49:14 PM,2,2,4
Google Play Random,08/06/2020 12:44:26 PM,08/06/2020 12:46:31 PM,1,4,4
Google Play Random,08/06/2020 12:22:04 PM,08/06/2020 12:22:31 PM,2,3,5
Google Play Beta,08/06/2020 11:15:00 AM,08/06/2020 11:17:25 AM,3,5,3
Google Play Beta,08/06/2020 09:29:04 AM,08/06/2020 09:44:27 AM,4,3,3
Google Play Random,08/06/2020 09:13:09 AM,08/06/2020 09:18:16 AM,2,5,4
Google Play Random,08/06/2020 09:06:08 AM,08/06/2020 09:06:39 AM,3,3,4
Google Play Random,08/06/2020 08:53:43 AM,08/06/2020 08:55:14 AM,1,5,4
Google Play Beta,08/06/2020 07:40:04 AM,08/06/2020 07:40:30 AM,5,3,4
Google Play Beta,08/06/2020 06:04:10 AM,08/06/2020 06:05:04 AM,5,1,3
Google Play Beta,08/06/2020 05:04:46 AM,08/06/2020 05:05:43 AM,3,5,4
Google Play Random,08/06/2020 04:34:16 AM,08/06/2020 04:35:29 AM,4,5,3
Google Play Random,08/06/2020 03:54:17 AM,08/06/2020 03:55:17 AM,5,1,2
Google Play Random,08/06/2020 03:43:49 AM,08/06/2020 03:44:52 AM,1,5,4
Google Play Beta,08/06/2020 03:27:25 AM,08/06/2020 03:28:04 AM,5,4,4
Google Play Random,08/06/2020 01:37:02 AM,08/06/2020 01:39:31 AM,2,4,4
Google Play Random,08/06/2020 01:26:41 AM,08/06/2020 01:28:04 AM,4,3,3
Google Play Beta,08/06/2020 12:50:26 AM,08/06/2020 12:51:39 AM,3,4,5
Google Play Beta,08/06/2020 12:35:10 AM,08/06/2020 12:36:22 AM,3,4,2
Google Play Beta,08/05/2020 11:57:28 PM,08/06/2020 12:01:26 AM,5,1,3
Google Play Random,08/05/2020 11:32:00 PM,08/05/2020 11:33:07 PM,5,3,4
Google Play Beta,08/05/2020 11:16:34 PM,08/05/2020 11:22:59 PM,2,5,3
Google Play Beta,08/05/2020 11:13:12 PM,08/05/2020 11:13:57 PM,5,4,3
Google Play Random,08/05/2020 11:01:52 PM,08/05/2020 11:02:25 PM,3,4,3
Google Play Random,08/05/2020 10:52:58 PM,08/05/2020 10:54:22 PM,2,4,2
Google Play Random,08/05/2020 10:14:12 PM,08/05/2020 10:18:06 PM,5,2,1
Google Play Random,08/05/2020 10:11:57 PM,08/05/2020 10:14:02 PM,3,5,2
Google Play Random,08/05/2020 10:02:34 PM,08/05/2020 10:04:43 PM,3,1,4
Google Play Random,08/05/2020 10:00:29 PM,08/05/2020 10:01:25 PM,4,3,3
Google Play Random,08/05/2020 09:53:54 PM,08/05/2020 09:58:04 PM,4,3,5
Google Play Beta,08/05/2020 09:39:36 PM,08/05/2020 09:40:25 PM,3,4,5
Google Play Random,08/05/2020 09:16:19 PM,08/05/2020 09:17:23 PM,4,4,2
Google Play Random,08/05/2020 09:07:17 PM,08/05/2020 09:07:51 PM,3,3,3
Google Play Random,08/05/2020 08:53:50 PM,08/05/2020 08:54:04 PM,4,2,3
Google Play Random,08/05/2020 08:53:04 PM,08/05/2020 08:53:31 PM,2,2,4
Google Play Random,08/05/2020 08:44:32 PM,08/05/2020 08:45:30 PM,3,4,5
Google Play Random,08/05/2020 08:39:15 PM,08/05/2020 08:39:41 PM,1,3,5
Google Play Random,08/05/2020 07:59:43 PM,08/05/2020 08:01:16 PM,4,3,5
Google Play Random,08/05/2020 07:38:57 PM,08/05/2020 07:39:35 PM,4,5,3
Google Play Random,08/05/2020 07:13:38 PM,08/05/2020 07:15:18 PM,3,2,2
Google Play Random,08/05/2020 06:47:51 PM,08/05/2020 06:49:22 PM,4,1,3
Google Play Random,08/05/2020 06:46:50 PM,08/05/2020 06:47:54 PM,4,5,3
Google Play Random,08/05/2020 06:41:30 PM,08/05/2020 06:42:42 PM,3,3,4
Google Play Random,08/05/2020 06:35:16 PM,08/05/2020 06:36:19 PM,4,2,4
Google Play Random,08/05/2020 06:32:03 PM,08/05/2020 06:35:39 PM,3,5,1
Google Play Beta,08/05/2020 06:02:26 PM,08/05/2020 06:04:34 PM,4,3,5
Google Play Random,08/05/2020 05:15:42 PM,08/05/2020 05:16:54 PM,2,4,5
Google Play Random,08/05/2020 04:49:26 PM,08/05/2020 04:50:53 PM,4,4,3
Google Play Random,08/05/2020 04:45:34 PM,08/05/2020 04:46:57 PM,5,3,1
Google Play Random,08/05/2020 04:42:39 PM,08/05/2020 04:43:21 PM,1,4,3
Google Play Beta,08/05/2020 04:15:46 PM,08/05/2020 04:16:30 PM,3,5,3
Google Play Random,08/05/2020 02:58:47 PM,08/05/2020 03:01:14 PM,4,4,3
Google Play Random,08/05/2020 02:55:13 PM,08/05/2020 02:56:22 PM,4,2,4
Google Play Random,08/05/2020 02:48:39 PM,08/05/2020 02:51:58 PM,2,4,1
Google Play Beta,08/05/2020 02:28:29 PM,08/05/2020 02:30:58 PM,4,4,2
