collector,start,end,alpha,bravo,charlie
Google Play Random,08/22/2020 04:02:44 AM,08/22/2020 04:04:29 AM,3,4,3
Google Play Random,08/21/2020 11:39:22 PM,08/21/2020 11:40:08 PM,4,5,2
Google Play Random,08/21/2020 11:32:21 PM,08/21/2020 11:55:16 PM,3,4,2
Google Play Random,08/21/2020 10:44:41 PM,08/21/2020 10:45:39 PM,5,1,1
Google Play Beta,08/21/2020 10:30:56 PM,08/21/2020 10:31:34 PM,3,5,3
Google Play Random,08/21/2020 10:25:36 PM,08/21/2020 10:27:10 PM,5,4,3
Google Play Beta,08/21/2020 10:18:58 PM,08/21/2020 10:20:13 PM,5,4,2
Google Play Random,08/21/2020 09:39:57 PM,08/21/2020 09:40:54 PM,1,1,1
Google Play Random,08/21/2020 08:43:18 PM,08/21/2020 08:45:13 PM,5,2,4
Google Play Random,08/21/2020 08:40:06 PM,08/21/2020 08:42:54 PM,3,5,1
Google Play Random,08/21/2020 08:20:29 PM,08/21/2020 08:23:53 PM,3,4,2
Google Play Beta,08/21/2020 08:07:12 PM,08/21/2020 08:07:53 PM,5,4,2
Google Play Random,08/21/2020 07:17:02 PM,08/21/2020 07:18:13 PM,5,1,3
Google Play Random,08/21/2020 07:06:30 PM,08/21/2020 07:08:18 PM,1,3,5
Google Play Random,08/21/2020 06:02:03 PM,08/21/2020 06:10:12 PM,5,1,4
Google Play Beta,08/21/2020 05:50:54 PM,08/21/2020 05:55:09 PM,4,4,3
Google Play Random,08/21/2020 05:48:05 PM,08/21/2020 05:48:42 PM,4,4,3
Google Play Random,08/21/2020 05:28:27 PM,08/21/2020 05:29:34 PM,2,5,5
Google Play Random,08/21/2020 04:43:08 PM,08/21/2020 04:43:43 PM,5,4,3
Google Play Random,08/21/2020 04:22:06 PM,08/21/2020 04:29:01 PM,3,1,2
Google Play Random,08/21/2020 03:34:35 PM,08/21/2020 03:36:11 PM,4,5,1
Google Play Random,08/21/2020 08:50:01 AM,08/21/2020 03:18:55 PM,2,3,5
Google Play Random,08/21/2020 02:43:09 PM,08/21/2020 02:45:47 PM,1,1,5
Google Play Random,08/21/2020 02:42:51 PM,08/21/2020 02:45:25 PM,2,4,5
Google Play Random,08/21/2020 02:09:08 PM,08/21/2020 02:10:30 PM,1,1,5
Google Play Random,08/21/2020 12:48:05 PM,08/21/2020 12:48:44 PM,3,4,3
Google Play Random,08/21/2020 12:40:34 PM,08/21/2020 12:41:45 PM,2,4,3
Google Play Beta,08/21/2020 12:37:53 PM,08/21/2020 12:38:34 PM,3,4,5
Google Play Random,08/21/2020 12:16:25 PM,08/21/2020 12:17:47 PM,3,1,5
Google Play Random,08/21/2020 10:31:27 AM,08/21/2020 10:34:02 AM,5,4,3
Google Play Random,08/21/2020 10:28:46 AM,08/21/2020 10:29:19 AM,4,3,3
Google Play Random,08/21/2020 09:38:33 AM,08/21/2020 09:40:12 AM,5,5,3
Google Play Random,08/21/2020 09:26:22 AM,08/21/2020 09:27:13 AM,5,4,3
Google Play Random,08/21/2020 08:43:46 AM,08/21/2020 09:28:19 AM,4,2,5
Google Play Random,08/21/2020 08:41:43 AM,08/21/2020 08:43:15 AM,5,4,3
Google Play Random,08/21/2020 08:03:00 AM,08/21/2020 08:04:07 AM,4,4,3
Google Play Beta,08/21/2020 07:45:54 AM,08/21/2020 07:47:03 AM,1,5,4
Google Play Random,08/21/2020 07:44:14 AM,08/21/2020 07:46:14 AM,5,3,2
Google Play Random,08/21/2020 07:39:57 AM,08/21/2020 07:41:36 AM,3,3,4
Google Play Random,08/21/2020 06:45:27 AM,08/21/2020 06:46:28 AM,3,2,1
Google Play Random,08/21/2020 06:25:50 AM,08/21/2020 06:28:10 AM,1,3,4
Google Play Beta,08/21/2020 05:44:06 AM,08/21/2020 05:48:12 AM,1,4,3
Google Play Beta,08/21/2020 03:21:26 AM,08/21/2020 03:22:24 AM,1,1,5
Google Play Random,08/21/2020 03:17:17 AM,08/21/2020 03:18:21 AM,2,3,5
Google Play Random,08/21/2020 12:53:20 AM,08/21/2020 12:53:58 AM,2,5,3
Google Play Random,08/21/2020 12:31:36 AM,08/21/2020 12:32:03 AM,2,3,4
Google Play Random,08/20/2020 11:16:57 PM,08/20/2020 11:18:29 PM,3,5,1
Google Play Beta,08/20/2020 10:44:47 PM,08/20/2020 10:46:22 PM,2,3,1
Google Play Random,08/20/2020 10:25:17 PM,08/20/2020 10:27:12 PM,1,2,3
Google Play Random,08/20/2020 10:22:12 PM,08/20/2020 10:23:02 PM,5,4,3
Google Play Random,08/20/2020 10:20:03 PM,08/20/2020 10:20:56 PM,2,3,4
Google Play Random,08/20/2020 10:10:46 PM,08/20/2020 10:11:27 PM,4,3,4
Google Play Random,08/20/2020 09:32:17 PM,08/20/2020 09:33:21 PM,4,5,3
Google Play Random,08/20/2020 09:31:14 PM,08/20/2020 09:31:51 PM,5,3,4
Google Play Random,08/20/2020 09:30:16 PM,08/20/2020 09:31:03 PM,5,1,1
Google Play Random,08/20/2020 09:28:01 PM,08/20/2020 09:28:42 PM,5,3,3
Google Play Random,08/20/2020 08:57:46 PM,08/20/2020 08:58:21 PM,3,2,5
Google Play Random,08/20/2020 08:56:56 PM,08/20/2020 08:58:27 PM,1,4,5
Google Play Random,08/20/2020 08:29:10 PM,08/20/2020 08:34:18 PM,1,5,5
Google Play Random,08/20/2020 08:28:02 PM,08/20/2020 08:28:47 PM,4,5,3
Google Play Random,08/20/2020 08:15:19 PM,08/20/2020 08:16:31 PM,2,5,4
Google Play Random,08/20/2020 07:30:48 PM,08/20/2020 07:31:59 PM,4,3,3
Google Play Random,08/20/2020 07:14:29 PM,08/20/2020 07:16:53 PM,4,5,3
Google Play Random,08/20/2020 07:09:42 PM,08/20/2020 07:10:40 PM,1,5,5
Google Play Random,08/20/2020 06:47:09 PM,08/20/2020 06:47:53 PM,3,2,4
Google Play Random,08/20/2020 05:50:53 PM,08/20/2020 05:52:12 PM,5,3,4
Google Play Random,08/20/2020 05:36:24 PM,08/20/2020 05:39:48 PM,4,5,3
Google Play Random,08/20/2020 05:14:02 PM,08/20/2020 05:15:09 PM,1,3,4
Google Play Random,08/20/2020 03:57:10 PM,08/20/2020 03:58:11 PM,5,1,3
Google Play Random,08/20/2020 03:14:19 PM,08/20/2020 03:15:22 PM,5,2,2
Google Play Random,08/20/2020 02:22:15 PM,08/20/2020 02:22:52 PM,3,4,5
Google Play Random,08/20/2020 01:40:22 PM,08/20/2020 01:41:36 PM,1,4,5
Google Play Random,08/20/2020 01:04:07 PM,08/20/2020 01:08:14 PM,1,4,2
Google Play Random,08/20/2020 01:01:58 PM,08/20/2020 01:06:29 PM,5,4,3
Google Play Random,08/20/2020 11:58:08 AM,08/20/2020 12:05:32 PM,5,3,4
Google Play Random,08/20/2020 11:55:05 AM,08/20/2020 11:56:30 AM,2,4,3
Google Play Random,08/20/2020 10:22:43 AM,08/20/2020 10:31:53 AM,3,3,4
Google Play Beta,08/20/2020 10:15:23 AM,08/20/2020 10:16:14 AM,3,5,1
Google Play Random,08/20/2020 10:11:41 AM,08/20/2020 10:12:24 AM,3,3,5
Google Play Random,08/20/2020 10:02:05 AM,08/20/2020 10:03:23 AM,4,2,3
Google Play Random,08/20/2020 09:48:16 AM,08/20/2020 09:49:33 AM,5,5,5
Google Play Random,08/20/2020 09:21:11 AM,08/20/2020 09:21:50 AM,5,3,3
Google Play Random,08/20/2020 07:53:45 AM,08/20/2020 07:55:42 AM,3,3,5
Google Play Random,08/20/2020 07:43:25 AM,08/20/2020 07:44:05 AM,5,4,2
Google Play Random,08/20/2020 07:27:52 AM,08/20/2020 07:29:20 AM,5,4,3
Google Play Random,08/20/2020 06:11:55 AM,08/20/2020 06:13:47 AM,5,3,2
Google Play Random,08/20/2020 06:06:11 AM,08/20/2020 06:07:02 AM,5,3,3
